gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	cluster_1_seropositive	cluster_1_seronegative
PTPRC	P08575	False	PTPRC_HUMAN		CPI-SS0CBC7840D	0.785	0.46
MET	P08581	False	MET_HUMAN		CPI-SS07F60834D	0.023	0.079
CD48	P09326	False	CD48_HUMAN		CPI-SS056FF4363	0.435	0.239
PDGFRB	P09619	False	PGFRB_HUMAN		CPI-SS0D954EA1C	0.667	0.637
ALOX5	P09917	False	LOX5_HUMAN		CPI-SS080611C5B	0.295	0.255
SELP	P16109	False	LYAM3_HUMAN		CPI-SS015E1E2C6	0.234	0.146
SELP	P16109	False	LYAM3_HUMAN		CPI-SS02B7540B0	0.234	0.146
CD99	P14209	False	CD99_HUMAN		CPI-SS01560CA22	2.479	2.638
SPN	P16150	False	LEUK_HUMAN		CPI-SS02A170A99	0.238	0.043
FLT4	P35916	False	VGFR3_HUMAN		CPI-SS0F972435E	0.036	0.007
KDR	P35968	False	VGFR2_HUMAN		CPI-SS0273C9AED	0.029	0.092
C5AR1	P21730	False	C5AR1_HUMAN		CPI-SS01946BE5C	0.226	0.176
FPR3	P25089	False	FPR3_HUMAN		CPI-SS0D2539AEB	0.079	0.242
CD6	P30203	False	CD6_HUMAN		CPI-SS08991B378	2.006	0.148
AXL	P30530	False	UFO_HUMAN		CPI-SS0D0252D87	0.329	0.613
IL15	P40933	False	IL15_HUMAN		CPI-SS077B160B9	0.078	0.097
AXL	P30530	False	UFO_HUMAN		CPI-SS03A4F7DC8	0.329	0.613
TYRO3	Q06418	False	TYRO3_HUMAN		CPI-SS085195142	0.018	0.006
CD52	P31358	False	CD52_HUMAN		CPI-SS073C1B796	5.77	1.368
BMP8B	P34820	False	BMP8B_HUMAN		CPI-SS0E5593D5C	0.02	0.016
FLT3	P36888	False	FLT3_HUMAN		CPI-SS076FEB261	0.048	0.016
LTBR	P36941	False	TNR3_HUMAN		CPI-SS06CBC985C	0.189	0.232
CMKLR1	Q99788	False	CML1_HUMAN		CPI-SS07D56EB05	0.421	0.326
LAIR1	Q6GTX8	False	LAIR1_HUMAN		CPI-SS067BA9202	0.743	0.49
ESAM	Q96AP7	False	ESAM_HUMAN		CPI-SS04C672963	0.204	0.182
PDGFRA	P16234	True	PGFRA_HUMAN	PDGFR complex	CPI-SC033E22B14	0.227	0.637
PDGFRB	P09619	True	PGFRB_HUMAN	PDGFR complex	CPI-SC033E22B14	0.227	0.637
TGFBR1	P36897	True	TGFR1_HUMAN	TGFR_AVR2A	CPI-SC001669E22	0.046	0.045
TGFBR1	P36897	True	TGFR1_HUMAN	TGFR_AVR2B	CPI-SC017215F7F	0.031	0.016
TGFBR1	P36897	True	TGFR1_HUMAN	TGFbeta receptor1	CPI-SC098C06330	0.156	0.377
TGFBR1	P36897	True	TGFR1_HUMAN	TGFbeta receptor1	CPI-SC0D5CFA431	0.156	0.377
ACVR2A	P27037	True	AVR2A_HUMAN	TGFR_AVR2A	CPI-SC001669E22	0.046	0.045
ACVR2B	Q13705	True	AVR2B_HUMAN	TGFR_AVR2B	CPI-SC017215F7F	0.031	0.016
TGFBR2	P37173	True	TGFR2_HUMAN	TGFbeta receptor1	CPI-SC098C06330	0.156	0.377
TGFBR2	P37173	True	TGFR2_HUMAN	TGFbeta receptor1	CPI-SC0D5CFA431	0.156	0.377
TGFBR2	P37173	True	TGFR2_HUMAN	TGFbeta receptor2	CPI-SC0984894BC	0.093	0.163
TGFBR2	P37173	True	TGFR2_HUMAN	TGFbeta receptor2	CPI-SC0077CEB82	0.093	0.163
ACVR1	Q04771	True	ACVR1_HUMAN	TGFbeta receptor2	CPI-SC0984894BC	0.093	0.163
ACVR1	Q04771	True	ACVR1_HUMAN	TGFbeta receptor2	CPI-SC0077CEB82	0.093	0.163
ITGB1	P05556	True	ITB1_HUMAN	a10b1 complex	CPI-SC07ECBFCA7	0.048	0.064
ITGB1	P05556	True	ITB1_HUMAN	a10b1 complex	CPI-SC067433F6B	0.048	0.064
ITGB1	P05556	True	ITB1_HUMAN	a10b1 complex	CPI-SC0B6F1A278	0.048	0.064
ITGB1	P05556	True	ITB1_HUMAN	a10b1 complex	CPI-SC0D19BAF15	0.048	0.064
ITGB1	P05556	True	ITB1_HUMAN	a10b1 complex	CPI-SC0F516B854	0.048	0.064
ITGB1	P05556	True	ITB1_HUMAN	a10b1 complex	CPI-SC011F01833	0.048	0.064
ITGB1	P05556	True	ITB1_HUMAN	a10b1 complex	CPI-SC0FA79E269	0.048	0.064
ITGB1	P05556	True	ITB1_HUMAN	a10b1 complex	CPI-SC02B111AB0	0.048	0.064
ITGB1	P05556	True	ITB1_HUMAN	a10b1 complex	CPI-SC0CE851065	0.048	0.064
ITGB1	P05556	True	ITB1_HUMAN	a10b1 complex	CPI-SC07375C073	0.048	0.064
ITGB1	P05556	True	ITB1_HUMAN	a10b1 complex	CPI-SC041DEF0FB	0.048	0.064
ITGB1	P05556	True	ITB1_HUMAN	a10b1 complex	CPI-SC0C907A888	0.048	0.064
ITGB1	P05556	True	ITB1_HUMAN	a10b1 complex	CPI-SC08B1D5269	0.048	0.064
ITGB1	P05556	True	ITB1_HUMAN	a10b1 complex	CPI-SC0F8101D41	0.048	0.064
ITGB1	P05556	True	ITB1_HUMAN	a10b1 complex	CPI-SC08E75294D	0.048	0.064
ITGB1	P05556	True	ITB1_HUMAN	a10b1 complex	CPI-SC0017F527E	0.048	0.064
ITGB1	P05556	True	ITB1_HUMAN	a10b1 complex	CPI-SC0A3F146C2	0.048	0.064
ITGB1	P05556	True	ITB1_HUMAN	a10b1 complex	CPI-SC008F4294F	0.048	0.064
ITGB1	P05556	True	ITB1_HUMAN	a10b1 complex	CPI-SC015980AEB	0.048	0.064
ITGB1	P05556	True	ITB1_HUMAN	a10b1 complex	CPI-SC0F94B2CF9	0.048	0.064
ITGB1	P05556	True	ITB1_HUMAN	a10b1 complex	CPI-SC0725E3A76	0.048	0.064
ITGB1	P05556	True	ITB1_HUMAN	a10b1 complex	CPI-SC0C9CBDD21	0.048	0.064
ITGB1	P05556	True	ITB1_HUMAN	a10b1 complex	CPI-SC02131C05A	0.048	0.064
ITGB1	P05556	True	ITB1_HUMAN	a11b1 complex	CPI-SC0F7E26271	0.027	0.054
ITGB1	P05556	True	ITB1_HUMAN	a11b1 complex	CPI-SC0A8902C85	0.027	0.054
ITGB1	P05556	True	ITB1_HUMAN	a11b1 complex	CPI-SC0A0532ADC	0.027	0.054
ITGB1	P05556	True	ITB1_HUMAN	a11b1 complex	CPI-SC0CFF5E19D	0.027	0.054
ITGB1	P05556	True	ITB1_HUMAN	a11b1 complex	CPI-SC0DF641DAA	0.027	0.054
ITGB1	P05556	True	ITB1_HUMAN	a11b1 complex	CPI-SC0681D30FE	0.027	0.054
ITGB1	P05556	True	ITB1_HUMAN	a11b1 complex	CPI-SC02017BE74	0.027	0.054
ITGB1	P05556	True	ITB1_HUMAN	a11b1 complex	CPI-SC04085F9F9	0.027	0.054
ITGB1	P05556	True	ITB1_HUMAN	a11b1 complex	CPI-SC0A54B5323	0.027	0.054
ITGB1	P05556	True	ITB1_HUMAN	a11b1 complex	CPI-SC0ECFACED2	0.027	0.054
ITGB1	P05556	True	ITB1_HUMAN	a11b1 complex	CPI-SC0092846B0	0.027	0.054
ITGB1	P05556	True	ITB1_HUMAN	a11b1 complex	CPI-SC08AF9CA91	0.027	0.054
ITGB1	P05556	True	ITB1_HUMAN	a11b1 complex	CPI-SC07E958BDE	0.027	0.054
ITGB1	P05556	True	ITB1_HUMAN	a11b1 complex	CPI-SC08CC68F11	0.027	0.054
ITGB1	P05556	True	ITB1_HUMAN	a11b1 complex	CPI-SC03BFF1D95	0.027	0.054
ITGB1	P05556	True	ITB1_HUMAN	a11b1 complex	CPI-SC03ADD2063	0.027	0.054
ITGB1	P05556	True	ITB1_HUMAN	a11b1 complex	CPI-SC0674C647E	0.027	0.054
ITGB1	P05556	True	ITB1_HUMAN	a11b1 complex	CPI-SC03D71E025	0.027	0.054
ITGB1	P05556	True	ITB1_HUMAN	a11b1 complex	CPI-SC060984F83	0.027	0.054
ITGB1	P05556	True	ITB1_HUMAN	a11b1 complex	CPI-SC0014D5A6E	0.027	0.054
ITGB1	P05556	True	ITB1_HUMAN	a11b1 complex	CPI-SC0D2BDC009	0.027	0.054
ITGB1	P05556	True	ITB1_HUMAN	a11b1 complex	CPI-SC05F111D21	0.027	0.054
ITGB1	P05556	True	ITB1_HUMAN	a11b1 complex	CPI-SC05B2AA866	0.027	0.054
ITGB1	P05556	True	ITB1_HUMAN	a1b1 complex	CPI-SC0F73E9099	0.061	0.19
ITGB1	P05556	True	ITB1_HUMAN	a1b1 complex	CPI-SC0BC63F8C0	0.061	0.19
ITGB1	P05556	True	ITB1_HUMAN	a1b1 complex	CPI-SC0672FBD31	0.061	0.19
ITGB1	P05556	True	ITB1_HUMAN	a1b1 complex	CPI-SC0545E2502	0.061	0.19
ITGB1	P05556	True	ITB1_HUMAN	a1b1 complex	CPI-SC006E22794	0.061	0.19
ITGB1	P05556	True	ITB1_HUMAN	a1b1 complex	CPI-SC0458F68A5	0.061	0.19
ITGB1	P05556	True	ITB1_HUMAN	a1b1 complex	CPI-SC09FDA4F45	0.061	0.19
ITGB1	P05556	True	ITB1_HUMAN	a1b1 complex	CPI-SC0F4BC2909	0.061	0.19
ITGB1	P05556	True	ITB1_HUMAN	a1b1 complex	CPI-SC02AE206BE	0.061	0.19
ITGB1	P05556	True	ITB1_HUMAN	a1b1 complex	CPI-SC05992FDC8	0.061	0.19
ITGB1	P05556	True	ITB1_HUMAN	a1b1 complex	CPI-SC069F95780	0.061	0.19
ITGB1	P05556	True	ITB1_HUMAN	a1b1 complex	CPI-SC0DAD29856	0.061	0.19
ITGB1	P05556	True	ITB1_HUMAN	a1b1 complex	CPI-SC02F06FF62	0.061	0.19
ITGB1	P05556	True	ITB1_HUMAN	a1b1 complex	CPI-SC0F8D27FBC	0.061	0.19
ITGB1	P05556	True	ITB1_HUMAN	a1b1 complex	CPI-SC0EA3FC100	0.061	0.19
ITGB1	P05556	True	ITB1_HUMAN	a1b1 complex	CPI-SC07FB88720	0.061	0.19
ITGB1	P05556	True	ITB1_HUMAN	a1b1 complex	CPI-SC035953E6B	0.061	0.19
ITGB1	P05556	True	ITB1_HUMAN	a1b1 complex	CPI-SC0BD4C290F	0.061	0.19
ITGB1	P05556	True	ITB1_HUMAN	a1b1 complex	CPI-SC053BBE2B1	0.061	0.19
ITGB1	P05556	True	ITB1_HUMAN	a1b1 complex	CPI-SC08BF895FC	0.061	0.19
ITGB1	P05556	True	ITB1_HUMAN	a1b1 complex	CPI-SC0D7F33CFB	0.061	0.19
ITGB1	P05556	True	ITB1_HUMAN	a1b1 complex	CPI-SC004A436C5	0.061	0.19
ITGB1	P05556	True	ITB1_HUMAN	a1b1 complex	CPI-SC0EAF80261	0.061	0.19
ITGB1	P05556	True	ITB1_HUMAN	a3b1 complex	CPI-SC04F2478E9	0.061	0.04
ITGB1	P05556	True	ITB1_HUMAN	a3b1 complex	CPI-SC02BFEEC8A	0.061	0.04
ITGB1	P05556	True	ITB1_HUMAN	a3b1 complex	CPI-SC09938698A	0.061	0.04
ITGB1	P05556	True	ITB1_HUMAN	a5b1 complex	CPI-SC08B2AD7C6	0.061	0.219
ITGB1	P05556	True	ITB1_HUMAN	a5b1 complex	CPI-SC0C8B4C056	0.061	0.219
ITGB1	P05556	True	ITB1_HUMAN	a5b1 complex	CPI-SC062C5C6C2	0.061	0.219
ITGB1	P05556	True	ITB1_HUMAN	a5b1 complex	CPI-SC058F72F90	0.061	0.219
ITGB1	P05556	True	ITB1_HUMAN	a6b1 complex	CPI-SC0EEF3A379	0.061	0.161
ITGB1	P05556	True	ITB1_HUMAN	a7b1 complex	CPI-SC0A2FE9693	0.061	0.102
ITGB1	P05556	True	ITB1_HUMAN	a8b1 complex	CPI-SC092C3E4DF	0.02	0.021
ITGB1	P05556	True	ITB1_HUMAN	a8b1 complex	CPI-SC01195CB48	0.02	0.021
ITGB1	P05556	True	ITB1_HUMAN	a9b1 complex	CPI-SC01AB9BED7	0.053	0.052
ITGB1	P05556	True	ITB1_HUMAN	a9b1 complex	CPI-SC056BF6CBB	0.053	0.052
ITGB1	P05556	True	ITB1_HUMAN	a9b1 complex	CPI-SC062D34C2A	0.053	0.052
ITGB1	P05556	True	ITB1_HUMAN	aVb1 complex	CPI-SC096929DB0	0.061	0.219
ITGA10	O75578	True	ITA10_HUMAN	a10b1 complex	CPI-SC07ECBFCA7	0.048	0.064
ITGA10	O75578	True	ITA10_HUMAN	a10b1 complex	CPI-SC067433F6B	0.048	0.064
ITGA10	O75578	True	ITA10_HUMAN	a10b1 complex	CPI-SC0B6F1A278	0.048	0.064
ITGA10	O75578	True	ITA10_HUMAN	a10b1 complex	CPI-SC0D19BAF15	0.048	0.064
ITGA10	O75578	True	ITA10_HUMAN	a10b1 complex	CPI-SC0F516B854	0.048	0.064
ITGA10	O75578	True	ITA10_HUMAN	a10b1 complex	CPI-SC011F01833	0.048	0.064
ITGA10	O75578	True	ITA10_HUMAN	a10b1 complex	CPI-SC0FA79E269	0.048	0.064
ITGA10	O75578	True	ITA10_HUMAN	a10b1 complex	CPI-SC02B111AB0	0.048	0.064
ITGA10	O75578	True	ITA10_HUMAN	a10b1 complex	CPI-SC0CE851065	0.048	0.064
ITGA10	O75578	True	ITA10_HUMAN	a10b1 complex	CPI-SC07375C073	0.048	0.064
ITGA10	O75578	True	ITA10_HUMAN	a10b1 complex	CPI-SC041DEF0FB	0.048	0.064
ITGA10	O75578	True	ITA10_HUMAN	a10b1 complex	CPI-SC0C907A888	0.048	0.064
ITGA10	O75578	True	ITA10_HUMAN	a10b1 complex	CPI-SC08B1D5269	0.048	0.064
ITGA10	O75578	True	ITA10_HUMAN	a10b1 complex	CPI-SC0F8101D41	0.048	0.064
ITGA10	O75578	True	ITA10_HUMAN	a10b1 complex	CPI-SC08E75294D	0.048	0.064
ITGA10	O75578	True	ITA10_HUMAN	a10b1 complex	CPI-SC0017F527E	0.048	0.064
ITGA10	O75578	True	ITA10_HUMAN	a10b1 complex	CPI-SC0A3F146C2	0.048	0.064
ITGA10	O75578	True	ITA10_HUMAN	a10b1 complex	CPI-SC008F4294F	0.048	0.064
ITGA10	O75578	True	ITA10_HUMAN	a10b1 complex	CPI-SC015980AEB	0.048	0.064
ITGA10	O75578	True	ITA10_HUMAN	a10b1 complex	CPI-SC0F94B2CF9	0.048	0.064
ITGA10	O75578	True	ITA10_HUMAN	a10b1 complex	CPI-SC0725E3A76	0.048	0.064
ITGA10	O75578	True	ITA10_HUMAN	a10b1 complex	CPI-SC0C9CBDD21	0.048	0.064
ITGA10	O75578	True	ITA10_HUMAN	a10b1 complex	CPI-SC02131C05A	0.048	0.064
ITGA11	Q9UKX5	True	ITA11_HUMAN	a11b1 complex	CPI-SC0F7E26271	0.027	0.054
ITGA11	Q9UKX5	True	ITA11_HUMAN	a11b1 complex	CPI-SC0A8902C85	0.027	0.054
ITGA11	Q9UKX5	True	ITA11_HUMAN	a11b1 complex	CPI-SC0A0532ADC	0.027	0.054
ITGA11	Q9UKX5	True	ITA11_HUMAN	a11b1 complex	CPI-SC0CFF5E19D	0.027	0.054
ITGA11	Q9UKX5	True	ITA11_HUMAN	a11b1 complex	CPI-SC0DF641DAA	0.027	0.054
ITGA11	Q9UKX5	True	ITA11_HUMAN	a11b1 complex	CPI-SC0681D30FE	0.027	0.054
ITGA11	Q9UKX5	True	ITA11_HUMAN	a11b1 complex	CPI-SC02017BE74	0.027	0.054
ITGA11	Q9UKX5	True	ITA11_HUMAN	a11b1 complex	CPI-SC04085F9F9	0.027	0.054
ITGA11	Q9UKX5	True	ITA11_HUMAN	a11b1 complex	CPI-SC0A54B5323	0.027	0.054
ITGA11	Q9UKX5	True	ITA11_HUMAN	a11b1 complex	CPI-SC0ECFACED2	0.027	0.054
ITGA11	Q9UKX5	True	ITA11_HUMAN	a11b1 complex	CPI-SC0092846B0	0.027	0.054
ITGA11	Q9UKX5	True	ITA11_HUMAN	a11b1 complex	CPI-SC08AF9CA91	0.027	0.054
ITGA11	Q9UKX5	True	ITA11_HUMAN	a11b1 complex	CPI-SC07E958BDE	0.027	0.054
ITGA11	Q9UKX5	True	ITA11_HUMAN	a11b1 complex	CPI-SC08CC68F11	0.027	0.054
ITGA11	Q9UKX5	True	ITA11_HUMAN	a11b1 complex	CPI-SC03BFF1D95	0.027	0.054
ITGA11	Q9UKX5	True	ITA11_HUMAN	a11b1 complex	CPI-SC03ADD2063	0.027	0.054
ITGA11	Q9UKX5	True	ITA11_HUMAN	a11b1 complex	CPI-SC0674C647E	0.027	0.054
ITGA11	Q9UKX5	True	ITA11_HUMAN	a11b1 complex	CPI-SC03D71E025	0.027	0.054
ITGA11	Q9UKX5	True	ITA11_HUMAN	a11b1 complex	CPI-SC060984F83	0.027	0.054
ITGA11	Q9UKX5	True	ITA11_HUMAN	a11b1 complex	CPI-SC0014D5A6E	0.027	0.054
ITGA11	Q9UKX5	True	ITA11_HUMAN	a11b1 complex	CPI-SC0D2BDC009	0.027	0.054
ITGA11	Q9UKX5	True	ITA11_HUMAN	a11b1 complex	CPI-SC05F111D21	0.027	0.054
ITGA11	Q9UKX5	True	ITA11_HUMAN	a11b1 complex	CPI-SC05B2AA866	0.027	0.054
ITGA1	P56199	True	ITA1_HUMAN	a1b1 complex	CPI-SC0F73E9099	0.061	0.19
ITGA1	P56199	True	ITA1_HUMAN	a1b1 complex	CPI-SC0BC63F8C0	0.061	0.19
ITGA1	P56199	True	ITA1_HUMAN	a1b1 complex	CPI-SC0672FBD31	0.061	0.19
ITGA1	P56199	True	ITA1_HUMAN	a1b1 complex	CPI-SC0545E2502	0.061	0.19
ITGA1	P56199	True	ITA1_HUMAN	a1b1 complex	CPI-SC006E22794	0.061	0.19
ITGA1	P56199	True	ITA1_HUMAN	a1b1 complex	CPI-SC0458F68A5	0.061	0.19
ITGA1	P56199	True	ITA1_HUMAN	a1b1 complex	CPI-SC09FDA4F45	0.061	0.19
ITGA1	P56199	True	ITA1_HUMAN	a1b1 complex	CPI-SC0F4BC2909	0.061	0.19
ITGA1	P56199	True	ITA1_HUMAN	a1b1 complex	CPI-SC02AE206BE	0.061	0.19
ITGA1	P56199	True	ITA1_HUMAN	a1b1 complex	CPI-SC05992FDC8	0.061	0.19
ITGA1	P56199	True	ITA1_HUMAN	a1b1 complex	CPI-SC069F95780	0.061	0.19
ITGA1	P56199	True	ITA1_HUMAN	a1b1 complex	CPI-SC0DAD29856	0.061	0.19
ITGA1	P56199	True	ITA1_HUMAN	a1b1 complex	CPI-SC02F06FF62	0.061	0.19
ITGA1	P56199	True	ITA1_HUMAN	a1b1 complex	CPI-SC0F8D27FBC	0.061	0.19
ITGA1	P56199	True	ITA1_HUMAN	a1b1 complex	CPI-SC0EA3FC100	0.061	0.19
ITGA1	P56199	True	ITA1_HUMAN	a1b1 complex	CPI-SC07FB88720	0.061	0.19
ITGA1	P56199	True	ITA1_HUMAN	a1b1 complex	CPI-SC035953E6B	0.061	0.19
ITGA1	P56199	True	ITA1_HUMAN	a1b1 complex	CPI-SC0BD4C290F	0.061	0.19
ITGA1	P56199	True	ITA1_HUMAN	a1b1 complex	CPI-SC053BBE2B1	0.061	0.19
ITGA1	P56199	True	ITA1_HUMAN	a1b1 complex	CPI-SC08BF895FC	0.061	0.19
ITGA1	P56199	True	ITA1_HUMAN	a1b1 complex	CPI-SC0D7F33CFB	0.061	0.19
ITGA1	P56199	True	ITA1_HUMAN	a1b1 complex	CPI-SC004A436C5	0.061	0.19
ITGA1	P56199	True	ITA1_HUMAN	a1b1 complex	CPI-SC0EAF80261	0.061	0.19
ITGA3	P26006	True	ITA3_HUMAN	a3b1 complex	CPI-SC04F2478E9	0.061	0.04
ITGA3	P26006	True	ITA3_HUMAN	a3b1 complex	CPI-SC02BFEEC8A	0.061	0.04
ITGA3	P26006	True	ITA3_HUMAN	a3b1 complex	CPI-SC09938698A	0.061	0.04
ITGA5	P08648	True	ITA5_HUMAN	a5b1 complex	CPI-SC08B2AD7C6	0.061	0.219
ITGA5	P08648	True	ITA5_HUMAN	a5b1 complex	CPI-SC0C8B4C056	0.061	0.219
ITGA5	P08648	True	ITA5_HUMAN	a5b1 complex	CPI-SC062C5C6C2	0.061	0.219
ITGA5	P08648	True	ITA5_HUMAN	a5b1 complex	CPI-SC058F72F90	0.061	0.219
ITGA6	P23229	True	ITA6_HUMAN	a6b1 complex	CPI-SC0EEF3A379	0.061	0.161
ITGA6	P23229	True	ITA6_HUMAN	a6b4 complex	CPI-SC0A68C5F13	0.078	0.049
ITGB4	P16144	True	ITB4_HUMAN	a6b4 complex	CPI-SC0A68C5F13	0.078	0.049
ITGA7	Q13683	True	ITA7_HUMAN	a7b1 complex	CPI-SC0A2FE9693	0.061	0.102
ITGA8	P53708	True	ITA8_HUMAN	a8b1 complex	CPI-SC092C3E4DF	0.02	0.021
ITGA8	P53708	True	ITA8_HUMAN	a8b1 complex	CPI-SC01195CB48	0.02	0.021
ITGA9	Q13797	True	ITA9_HUMAN	a9b1 complex	CPI-SC01AB9BED7	0.053	0.052
ITGA9	Q13797	True	ITA9_HUMAN	a9b1 complex	CPI-SC056BF6CBB	0.053	0.052
ITGA9	Q13797	True	ITA9_HUMAN	a9b1 complex	CPI-SC062D34C2A	0.053	0.052
ITGB2	P05107	True	ITB2_HUMAN	aLb2 complex	CPI-SC0F4AC5AA2	1.355	0.225
ITGB2	P05107	True	ITB2_HUMAN	aLb2 complex	CPI-SC063BC3DDE	1.355	0.225
ITGB2	P05107	True	ITB2_HUMAN	aLb2 complex	CPI-SC0329D5397	1.355	0.225
ITGB2	P05107	True	ITB2_HUMAN	aLb2 complex	CPI-SC092659F65	1.355	0.225
ITGB2	P05107	True	ITB2_HUMAN	aLb2 complex	CPI-SC08923F7F7	1.355	0.225
ITGB2	P05107	True	ITB2_HUMAN	aMb2 complex	CPI-SC0A05D3880	0.202	0.217
ITGB2	P05107	True	ITB2_HUMAN	aMb2 complex	CPI-SC0B6D68FD5	0.202	0.217
ITGB2	P05107	True	ITB2_HUMAN	aMb2 complex	CPI-SC0527EEE7A	0.202	0.217
ITGB2	P05107	True	ITB2_HUMAN	aMb2 complex	CPI-SC0F9DD28F3	0.202	0.217
ITGB2	P05107	True	ITB2_HUMAN	aXb2 complex	CPI-SC0C6B54D7A	0.825	0.71
ITGB2	P05107	True	ITB2_HUMAN	aXb2 complex	CPI-SC0A9458008	0.825	0.71
ITGAL	P20701	True	ITAL_HUMAN	aLb2 complex	CPI-SC0F4AC5AA2	1.355	0.225
ITGAL	P20701	True	ITAL_HUMAN	aLb2 complex	CPI-SC063BC3DDE	1.355	0.225
ITGAL	P20701	True	ITAL_HUMAN	aLb2 complex	CPI-SC0329D5397	1.355	0.225
ITGAL	P20701	True	ITAL_HUMAN	aLb2 complex	CPI-SC092659F65	1.355	0.225
ITGAL	P20701	True	ITAL_HUMAN	aLb2 complex	CPI-SC08923F7F7	1.355	0.225
ITGAM	P11215	True	ITAM_HUMAN	aMb2 complex	CPI-SC0A05D3880	0.202	0.217
ITGAM	P11215	True	ITAM_HUMAN	aMb2 complex	CPI-SC0B6D68FD5	0.202	0.217
ITGAM	P11215	True	ITAM_HUMAN	aMb2 complex	CPI-SC0527EEE7A	0.202	0.217
ITGAM	P11215	True	ITAM_HUMAN	aMb2 complex	CPI-SC0F9DD28F3	0.202	0.217
ITGAV	P06756	True	ITAV_HUMAN	aVb1 complex	CPI-SC096929DB0	0.061	0.219
ITGAV	P06756	True	ITAV_HUMAN	aVb5 complex	CPI-SC0847A64D2	0.409	0.823
ITGB5	P18084	True	ITB5_HUMAN	aVb5 complex	CPI-SC0847A64D2	0.409	0.823
ITGAX	P20702	True	ITAX_HUMAN	aXb2 complex	CPI-SC0C6B54D7A	0.825	0.71
ITGAX	P20702	True	ITAX_HUMAN	aXb2 complex	CPI-SC0A9458008	0.825	0.71
TNFSF9	P41273	False	TNFL9_HUMAN		CPI-SS00A8596B5	0.039	0.012
CD96	P40200	False	TACT_HUMAN		CPI-SS0B84DAE3D	0.172	0.026
CD226	Q15762	False	CD226_HUMAN		CPI-SS0A8627ED6	0.074	0.031
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS09C06644C	0.086	0.049
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0C9696AAA	0.086	0.049
CADM4	Q8NFZ8	False	CADM4_HUMAN		CPI-SS02D18D12B	0.028	0.009
EPB41L1	Q9H4G0	False	E41L1_HUMAN		CPI-SS0B3829651	0.053	0.094
CD44	P16070	False	CD44_HUMAN		CPI-SS03DA2A820	1.238	1.751
CD44	P16070	False	CD44_HUMAN		CPI-SS02AB0C3E0	1.238	1.751
CD44	P16070	False	CD44_HUMAN		CPI-SS0703338F5	1.238	1.751
CD44	P16070	False	CD44_HUMAN		CPI-SS03722104E	1.238	1.751
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS01F67987A	0.292	0.4
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS03189F5F6	0.292	0.4
FGFRL1	Q8N441	False	FGRL1_HUMAN		CPI-SS0CB6968B9	0.065	0.067
PTGER4	P35408	False	PE2R4_HUMAN		CPI-SS0C1BD22BC	0.214	0.445
TGFBR3	Q03167	False	TGBR3_HUMAN		CPI-SS085EE60B1	0.061	0.161
TGFBR3	Q03167	False	TGBR3_HUMAN		CPI-SS0D46E2B45	0.061	0.161
JAM3	Q9BX67	False	JAM3_HUMAN		CPI-SS087B53ABF	0.155	0.126
FAM3C	Q92520	False	FAM3C_HUMAN		CPI-SS055E061C9	0.153	0.333
INHBA	P08476	False	INHBA_HUMAN		CPI-CS091BF99D0	0.042	0.046
INHBA	P08476	False	INHBA_HUMAN		CPI-CS04DD927C9	0.042	0.046
LCK	P06239	False	LCK_HUMAN		CPI-CS0A66DB1CA	0.916	0.123
TGFB1	P01137	False	TGFB1_HUMAN		CPI-SS0055264F3	0.76	0.439
MIF	P14174	False	MIF_HUMAN		CPI-SS00EDDD458	0.236	0.31
MIF	P14174	False	MIF_HUMAN		CPI-SS0ABC5C1B8	0.236	0.31
GRN	P28799	False	GRN_HUMAN		CPI-SS08CA619FE	5.642	3.955
GRN	P28799	False	GRN_HUMAN		CPI-SS0DA033F03	5.642	3.955
GRN	P28799	False	GRN_HUMAN		CPI-SS0C4E86714	5.642	3.955
COPA	P53621	False	COPA_HUMAN		CPI-SS088A0A760	0.5	0.679
COPA	P53621	False	COPA_HUMAN		CPI-SS0302E8E8F	0.5	0.679
HBEGF	Q99075	False	HBEGF_HUMAN		CPI-SS0C10824C7	0.134	0.204
HBEGF	Q99075	False	HBEGF_HUMAN		CPI-SS0632A027A	0.134	0.204
TNFSF13B	Q9Y275	False	TN13B_HUMAN		CPI-SS03133B4F2	0.118	0.169
TNFSF13B	Q9Y275	False	TN13B_HUMAN		CPI-SS0F00D756A	0.118	0.169
TNFSF13B	Q9Y275	False	TN13B_HUMAN		CPI-SS09648FAA9	0.118	0.169
APP	P05067	False	A4_HUMAN		CPI-SS09808DEAE	0.833	1.127
SPN	P16150	False	LEUK_HUMAN		CPI-SS09C4FCB90	0.238	0.043
ITGAL	P20701	False	ITAL_HUMAN		CPI-SS0E9A581F8	1.355	0.225
VEGFA	P15692	False	VEGFA_HUMAN		CPI-CS067298D94	0.122	0.107
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS0DE0A486F	0.122	0.107
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS0E00478B4	0.122	0.107
PGF	P49763	False	PLGF_HUMAN		CPI-CS073D36B1D	0.279	0.408
